Year,RSCI,Player
http://www.draftexpress.com/RSCI/2004/,88,"						David Pendergraft
						"
http://www.draftexpress.com/RSCI/2004/,89,"						Nick Young
						"
http://www.draftexpress.com/RSCI/2004/,89,"						Lorrenzo Wade
						"
http://www.draftexpress.com/RSCI/2004/,91,"						Anthony Morrow
						"
http://www.draftexpress.com/RSCI/2004/,91,"						DeAaron Williams
						"
http://www.draftexpress.com/RSCI/2004/,93,"						James Hardy
						"
http://www.draftexpress.com/RSCI/2004/,94,"						Rahshon Clark
						"
http://www.draftexpress.com/RSCI/2004/,95,"						Brian Laing
						"
http://www.draftexpress.com/RSCI/2004/,96,"						Sam Perry
						"
http://www.draftexpress.com/RSCI/2004/,97,"						Longar Longar
						"
http://www.draftexpress.com/RSCI/2004/,97,"						Rob Kurz
						"
http://www.draftexpress.com/RSCI/2004/,99,"						Alex Thompson
						"
http://www.draftexpress.com/RSCI/2004/,100,"						Channing Toney
						"
http://www.draftexpress.com/RSCI/2004/,100,"						Toney Douglas
						"
http://www.draftexpress.com/RSCI/2004/,100,"						Jackie Butler
						"
http://www.draftexpress.com/RSCI/2004/,103,"						Ramel Bradley
						"
http://www.draftexpress.com/RSCI/2004/,103,"						Robert Dozier
						"
http://www.draftexpress.com/RSCI/2004/,105,"						Glen Dandridge
						"
http://www.draftexpress.com/RSCI/2006/,1,"						Greg Oden
						"
http://www.draftexpress.com/RSCI/1998/,1,"						Al Harrington
						"
http://www.draftexpress.com/RSCI/2007/,1,"						O.J. Mayo
						"
http://www.draftexpress.com/RSCI/2003/,1,"						LeBron James
						"
http://www.draftexpress.com/RSCI/2008/,1,"						Brandon Jennings
						"
http://www.draftexpress.com/RSCI/2000/,42,"						Ivan McFarlin
						"
http://www.draftexpress.com/RSCI/2000/,44,"						Scooter Sherrill
						"
http://www.draftexpress.com/RSCI/2000/,45,"						Jeff McMillan
						"
http://www.draftexpress.com/RSCI/2000/,46,"						Herve Lamizana
						"
http://www.draftexpress.com/RSCI/2000/,47,"						Brian Boddicker
						"
http://www.draftexpress.com/RSCI/2000/,48,"						Jared Reiner
						"
http://www.draftexpress.com/RSCI/2000/,49,"						Arthur Johnson
						"
http://www.draftexpress.com/RSCI/2000/,50,"						Michael Joiner
						"
http://www.draftexpress.com/RSCI/2000/,50,"						Luke Whitehead
						"
http://www.draftexpress.com/RSCI/2000/,50,"						Terrence Crawford
						"
http://www.draftexpress.com/RSCI/2000/,53,"						Brandon Brooks
						"
http://www.draftexpress.com/RSCI/2000/,54,"						Brandon Mouton
						"
http://www.draftexpress.com/RSCI/2000/,55,"						Brett Buscher
						"
http://www.draftexpress.com/RSCI/2000/,56,"						Mohammed Diakite
						"
http://www.draftexpress.com/RSCI/2000/,57,"						Romain Sato
						"
http://www.draftexpress.com/RSCI/2000/,58,"						Neil Fingleton
						"
http://www.draftexpress.com/RSCI/2000/,59,"						Kendall Dartez
						"
http://www.draftexpress.com/RSCI/2000/,60,"						A.J. Moye
						"
http://www.draftexpress.com/RSCI/2005/,3,"						Monta Ellis
						"
http://www.draftexpress.com/RSCI/2005/,4,"						Andray Blatche
						"
http://www.draftexpress.com/RSCI/2005/,5,"						Martell Webster
						"
http://www.draftexpress.com/RSCI/2005/,6,"						Tyler Hansbrough
						"
http://www.draftexpress.com/RSCI/2005/,7,"						Louis Williams
						"
http://www.draftexpress.com/RSCI/2005/,8,"						Julian Wright
						"
http://www.draftexpress.com/RSCI/2005/,9,"						Richard Hendrix
						"
http://www.draftexpress.com/RSCI/2005/,10,"						Tasmin Mitchell
						"
http://www.draftexpress.com/RSCI/2005/,10,"						Mario Chalmers
						"
http://www.draftexpress.com/RSCI/2005/,12,"						Andrew Bynum
						"
http://www.draftexpress.com/RSCI/2005/,13,"						Keith Brumbaugh
						"
http://www.draftexpress.com/RSCI/2005/,14,"						C.J. Miles
						"
http://www.draftexpress.com/RSCI/2005/,15,"						Shawne Williams
						"
http://www.draftexpress.com/RSCI/2005/,16,"						Greg Paulus
						"
http://www.draftexpress.com/RSCI/2005/,17,"						Amir Johnson
						"
http://www.draftexpress.com/RSCI/2005/,18,"						Danny Green
						"
http://www.draftexpress.com/RSCI/2005/,19,"						Jon Brockman
						"
http://www.draftexpress.com/RSCI/2005/,20,"						Brandon Costner
						"
http://www.draftexpress.com/RSCI/2005/,21,"						Byron Eaton
						"
http://www.draftexpress.com/RSCI/2005/,22,"						Micah Downs
						"
http://www.draftexpress.com/RSCI/2005/,23,"						Eric Devendorf
