player_name,href,pos,height,weight,team,birthday_code 
Rashard Odomes,/player/Rashard-Odomes/Summary/84097,SG,6-6,212,Oklahoma,19400101
Henry Odunze,/player/Henry-Odunze/Summary/106998,PF,6-8,185,Howard,19400101
Prince Oduro,/player/Prince-Oduro/Summary/119627,PF,6-8,230,Siena,19981027
Barry Ogalue,/player/Barry-Ogalue/Summary/103696,GF,6-5,200,Long Beach State,19400101
Devante Jackson,/player/Devante-Jackson/Summary/117892,FC,6-9,200,Grambling State,19400101
Devin Jackson,/player/Devin-Jackson/Summary/122297,G,6-2,175,Sam Houston State,19400101
Donovan Jackson,/player/Donovan-Jackson/Summary/107114,SG,6-2,173,Iowa State,19960209
Isaiah Jackson,/player/Isaiah-Jackson/Summary/80353,PG,6-6,225,Providence,19950227
James Jackson,/player/James-Jackson/Summary/111493,F,6-8,235,UC Riverside,19400101
Jamil Jackson,/player/Jamil-Jackson/Summary/122079,GF,6-6,190,Southern Utah,19400101
Jaren Jackson,/player/Jaren-Jackson/Summary/88806,SF,6-11,235,Michigan State,19990915
Javonntie Jackson,/player/Javonntie-Jackson/Summary/85657,SF,6-6,190,Long Beach State,19980607
Jhivvan Jackson,/player/Jhivvan-Jackson/Summary/108411,G,6-0,160,Texas-San Antonio,19980827
Jordan Jackson,/player/Jordan-Jackson/Summary/84113,SG,6-3,180,Texas-RGV,19970625
"Jermaine Jackson, Jr.",/player/Jermaine-Jackson-Jr/Summary/121652,PG,5-10,170,Detroit-Mercy,19400101
Justin Jackson,/player/Justin-Jackson/Summary/41335,SF,6-7,225,Maryland,19970218
Kimani Jackson,/player/Kimani-Jackson/Summary/89143,PF,6-7,225,Nicholls State,19950328
Brian Carey,/player/Brian-Carey/Summary/84739,PG,5-10,160,Texas Southern,19400101
Donald Carey,/player/Donald-Carey/Summary/121745,G,6-5,185,Mount St. Mary's,19400101
Dylan Carl,/player/Dylan-Carl/Summary/106871,PF,6-11,205,Fort Wayne,19400101
Donoven Carlisle,/player/Donoven-Carlisle/Summary/122359,F,6-8,210,Denver,19400101
Nai Carlisle,/player/Nai-Carlisle/Summary/85894,PG,6-2,200,San Jose State,19400101
Jaekwon Carliyle,/player/Jaekwon-Carliyle/Summary/107130,PG,5-10,177,Hampton,19980122
Klint Carlson,/player/Klint-Carlson/Summary/57191,F,6-7,225,Northern Iowa,19940826
Josh Carlton,/player/Josh-Carlton/Summary/104925,C,6-9,225,Connecticut,19990226
Christian Carlyle,/player/Christian-Carlyle/Summary/107088,SG,6-6,210,Florida Gulf Coast,19971112
Ryan Carmello,/player/Ryan-Carmello/Summary/124681,G,5-11,160,Marist,19400101
Cameron Carmical,/player/Cameron-Carmical/Summary/121792,G,5-10,160,Eastern Kentucky,19400101
Jordan Caroline,/player/Jordan-Caroline/Summary/80783,F,6-7,235,Nevada,19960115
Justin Carpenter,/player/Justin-Carpenter/Summary/121822,F,6-9,230,Southeast Missouri State,19400101
Kenny Carpenter,/player/Kenny-Carpenter/Summary/80697,G,6-5,180,Cleveland State,19960707
Marcus Carr,/player/Marcus-Carr/Summary/92187,PG,6-1,185,Pittsburgh,19990606
Nate Kennell,/player/Nate-Kennell/Summary/89359,SG,6-6,205,Bradley,19971218
Gavin Kensmil,/player/Gavin-Kensmil/Summary/121914,F,6-7,230,Iona,19400101
Zach Kent,/player/Zach-Kent/Summary/88809,C,6-10,224,Tennessee,19980119
Kevin Kerley,/player/Kevin-Kerley/Summary/99092,G,6-0,178,Appalachian State,19960116
Connor Kern,/player/Connor-Kern/Summary/81388,G,6-4,196,Arkansas State,19400101
Bronson Kessinger,/player/Bronson-Kessinger/Summary/85555,SF,6-8,230,Indiana State,19400101
Jacob Kessler,/player/Jacob-Kessler/Summary/82921,GF,6-4,190,Army,19400101
Brandon Key,/player/Brandon-Key/Summary/84263,PG,5-10,180,South Dakota State,19400101
Braxton Key,/player/Braxton-Key/Summary/103651,SF,6-8,225,Alabama,19970214
Jaylen Key,/player/Jaylen-Key/Summary/84006,PF,6-8,230,Northern Illinois,19970509
Tyreke Key,/player/Tyreke-Key/Summary/121564,G,6-2,180,Indiana State,19400101
Denzel Keyes,/player/Denzel-Keyes/Summary/58589,G,6-4,210,North Carolina A&T;,19950505
C.J. Keyser,/player/CJ-Keyser/Summary/84003,SG,6-3,185,Wichita State,19970206
A.J. Harris,/player/AJ-Harris/Summary/73148,PG,5-9,163,New Mexico State,19400101
Anthony Harris,/player/Anthony-Harris/Summary/122386,G,6-5,195,Chicago State,19400101
Blake Harris,/player/Blake-Harris/Summary/88119,PG,6-3,195,Missouri,19981218
Chris Harris,/player/Chris-Harris/Summary/84036,C,6-10,240,Houston,19400101
Devin Harris,/player/Devin-Harris/Summary/57878,G,6-4,200,Jacksonville,19950916
Jalen Harris,/player/Jalen-Harris/Summary/76745,PG,6-2,166,Arkansas,19400101
Jalen Harris,/player/Jalen-Harris/Summary/107049,SG,6-4,195,Louisiana Tech,19980814
Jamir Harris,/player/Jamir-Harris/Summary/76748,SG,6-2,185,Minnesota,19400101
Jeremy Harris,/player/Jeremy-Harris/Summary/84329,SF,6-7,176,Buffalo,19400101
Jontray Harris,/player/Jontray-Harris/Summary/109603,G,6-4,188,Oral Roberts,19400101
Jordan Harris,/player/Jordan-Harris/Summary/86009,SG,6-4,190,Georgia,19971009
Jordon Harris,/player/Jordon-Harris/Summary/106731,PG,5-11,170,Louisiana-Monroe,19960623
Julian Harris,/player/Julian-Harris/Summary/81477,F,6-5,235,Texas-Arlington,19960423
Kaelon Harris,/player/Kaelon-Harris/Summary/107036,SG,6-4,225,Citadel,19400101
Kain Harris,/player/Kain-Harris/Summary/84108,SG,6-4,210,Kent State,19970423
Romaro Gill,/player/Romaro-Gill/Summary/108020,C,7-2,245,Seton Hall,19400101
Montaque Gill-Caesar,/player/Montaque-Gill-Caesar/Summary/48753,SF,6-6,215,San Diego State,19960131
Grantham Gillard,/player/Grantham-Gillard/Summary/117647,G,6-4,205,Arkansas State,19400101
Jerald Gillens-Butler,/player/Jerald-Gillens-Butler/Summary/121483,GF,6-4,235,Butler,19400101
Antonio Gillespie,/player/Antonio-Gillespie/Summary/97710,G,6-0,170,Morgan State,19400101
Collin Gillespie,/player/Collin-Gillespie/Summary/118702,PG,6-3,190,Villanova,19400101
Freddie Gillespie,/player/Freddie-Gillespie/Summary/105068,F,6-8,240,Baylor,19400101
Mike Gillespie,/player/Mike-Gillespie/Summary/126038,G,6-3,180,Massachusetts,19400101
Jake Gilliam,/player/Jake-Gilliam/Summary/107589,C,6-9,260,San Diego,19990612
Leon Gilmore III,/player/Leon-Gilmore-III/Summary/81576,F,6-7,220,Stephen F. Austin,19950903
Devin Gilmore,/player/Devin-Gilmore/Summary/121811,F,6-6,200,Murray State,19971016
Donovan Gilmore,/player/Donovan-Gilmore/Summary/80594,F,6-7,190,UNC Asheville,19941222
K.J. Gilmore,/player/KJ-Gilmore/Summary/122334,GF,6-5,205,Little Rock,19980611
Nick DiNardi,/player/Nick-DiNardi/Summary/112913,F,6-7,225,Loyola (IL),19400101
Donte DiVincenzo,/player/Donte-DiVincenzo/Summary/83939,SG,6-5,205,Villanova,19970131
Tahirou Diabate,/player/Tahirou-Diabate/Summary/121534,F,6-9,210,Portland,19400101
Moustapha Diagne,/player/Moustapha-Diagne/Summary/52574,C,6-9,241,Western Kentucky,19951006
Boubacar Diakite,/player/Boubacar-Diakite/Summary/108186,PF,6-8,185,St. John's,19400101
Mamadi Diakite,/player/Mamadi-Diakite/Summary/76392,PF,6-9,228,Virginia,19970121
Soufiyane Diakite,/player/Soufiyane-Diakite/Summary/107695,SF,6-6,215,Bethune-Cookman,19400101
Aboubacar Diallo,/player/Aboubacar-Diallo/Summary/99006,F,6-9,200,Eastern Illinois,19951009
Alpha Diallo,/player/Alpha-Diallo/Summary/85800,SF,6-7,211,Providence,19970629
Cheikh Diallo,/player/Cheikh-Diallo/Summary/52325,SG,6-1,167,American University,19960315
Hamidou Diallo,/player/Hamidou-Diallo/Summary/88100,SG,6-5,198,Kentucky,19980731
Dom Antonelli,/player/Dom-Antonelli/Summary/99031,G,6-1,190,Navy,19400101
Jonah Antonio,/player/Jonah-Antonio/Summary/107946,SG,6-5,180,Mount St. Mary's,19970419
Milos Apic,/player/Milos-Apic/Summary/121951,F,6-10,200,Long Beach State,19400101
Tyree Appleby,/player/Tyree-Appleby/Summary/121650,G,6-1,165,Cleveland State,19400101
D'Quan Applewhite,/player/DQuan-Applewhite/Summary/112926,G,6-3,180,SIU-Edwardsville,19400101
Damani Applewhite,/player/Damani-Applewhite/Summary/110498,F,6-8,200,South Carolina State,19400101
Celio Araujo,/player/Celio-Araujo/Summary/122168,G,5-10,175,Maine,19400101
Amorie Archibald,/player/Amorie-Archibald/Summary/121623,G,6-3,176,Louisiana Tech,19990905
Alex Arians,/player/Alex-Arians/Summary/122389,G,6-4,190,South Dakota State,19980728
Tope Arikawe,/player/Tope-Arikawe/Summary/85390,PF,6-8,220,North Texas,19400101
Richmond Aririguzoh,/player/Richmond-Aririguzoh/Summary/107170,PF,6-9,220,Princeton,19400101
Brandon Armstrong,/player/Brandon-Armstrong/Summary/107080,SG,6-5,200,South Dakota,19400101
Jacoby Armstrong,/player/Jacoby-Armstrong/Summary/57848,F,6-7,230,New Hampshire,19950212
Mladen Armus,/player/Mladen-Armus/Summary/76326,PF,6-10,230,East Tennessee State,19970326
Averyl Ugba,/player/Averyl-Ugba/Summary/112961,F,6-7,225,Austin Peay,19941204
Stephen Ugochukwu,/player/Stephen-Ugochukwu/Summary/81339,F,6-7,220,McNeese State,19960322
Dominique Uhl,/player/Dominique-Uhl/Summary/27774,PF,6-9,217,Iowa,19941018
Ken Uhlar,/player/Ken-Uhlar/Summary/112819,F,6-6,215,New Hampshire,19970515
Jeffrey Uju,/player/Jeffrey-Uju/Summary/109433,F,6-7,220,Bowling Green,19960818
Jermaine Ukaegbu,/player/Jermaine-Ukaegbu/Summary/84886,SF,6-6,200,Winthrop,19400101
Scott Ulaneo,/player/Scott-Ulaneo/Summary/63974,PF,6-10,215,Seattle,19980627
Rokas Ulvydas,/player/Rokas-Ulvydas/Summary/88712,PF,6-11,235,UCF,19941229
Sidney Umude,/player/Sidney-Umude/Summary/80664,F,6-7,205,Southern,19400101
Stanley Umude,/player/Stanley-Umude/Summary/122384,G,6-6,190,South Dakota,19400101
Jonah Underwood,/player/Jonah-Underwood/Summary/121955,F,6-8,220,UC Davis,19400101
Tyler Underwood,/player/Tyler-Underwood/Summary/97828,G,6-2,180,Illinois,19960822
Thatch Unruh,/player/Thatch-Unruh/Summary/81322,SG,6-5,190,Central Arkansas,19400101
Mantvydas Urmilevicius,/player/Mantvydas-Urmilevicius/Summary/107271,PF,6-8,190,Bryant,19960914
Drew Urquhart,/player/Drew-Urquhart/Summary/72582,F,6-8,219,Vermont,19960509
David Urso,/player/David-Urso/Summary/82861,G,6-2,200,Vermont,19400101
Jordan Usher,/player/Jordan-Usher/Summary/108151,SF,6-7,210,USC,19980521
Erick Neal,/player/Erick-Neal/Summary/81479,G,5-10,155,Texas-Arlington,19950315
Rayshawn Neal,/player/Rayshawn-Neal/Summary/123921,G,5-10,185,South Carolina State,19400101
Josh Nebo,/player/Josh-Nebo/Summary/97691,FC,6-9,242,Texas A&M;,19400101
Brailen Neely,/player/Brailen-Neely/Summary/89390,PG,5-9,154,Oakland,19970506
Cooper Neese,/player/Cooper-Neese/Summary/106493,GF,6-4,185,Indiana State,19400101
Luke Neff,/player/Luke-Neff/Summary/93372,PG,6-0,155,Denver,19980705
Thomas Neff,/player/Thomas-Neff/Summary/88085,SG,6-5,200,Denver,19961014
Christian Negron,/player/Christian-Negron/Summary/88833,PF,6-7,215,Loyola (IL),19981124
Austin Nehls,/player/Austin-Nehls/Summary/88540,SG,6-3,185,Central Connecticut State,19400101
Isaac Neilson,/player/Isaac-Neilson/Summary/81304,C,6-11,245,Utah Valley,19921218
Liam Nelligan,/player/Liam-Nelligan/Summary/124628,G,6-5,195,Notre Dame,19400101
Andy Nelson,/player/Andy-Nelson/Summary/117548,G,6-1,180,San Diego,19400101
Austin Nelson,/player/Austin-Nelson/Summary/122116,G,6-6,194,USC Upstate,19400101
Doc Nelson,/player/Doc-Nelson/Summary/122083,G,6-1,170,Weber State,19400101
Gio Nelson,/player/Gio-Nelson/Summary/121956,G,6-4,186,UC Davis,19400101
Ja'Cor Nelson,/player/JaCor-Nelson/Summary/122005,G,6-3,185,Campbell,19400101
Marek Nelson,/player/Marek-Nelson/Summary/121641,GF,6-6,200,Western Kentucky,19400101
Shakaris Laney,/player/Shakaris-Laney/Summary/81558,G,6-4,200,Central Connecticut State,19400101
Alan Lang,/player/Alan-Lang/Summary/124640,F,6-7,195,Weber State,19400101
Javier Langarica,/player/Javier-Langarica/Summary/121588,F,6-9,180,George Washington,19991108
Ian Langendoefer,/player/Ian-Langendoefer/Summary/106964,SF,6-5,211,Loyola (MD),19400101
Cyril Langevine,/player/Cyril-Langevine/Summary/107324,F,6-8,225,Rhode Island,19970816
Josh Langford,/player/Josh-Langford/Summary/54851,SG,6-5,210,Michigan State,19970115
Kameron Langley,/player/Kameron-Langley/Summary/122125,G,6-2,205,North Carolina A&T;,19400101
K.J. Langston,/player/KJ-Langston/Summary/109429,G,6-4,185,Washington State,19400101
Luidgy Laporal,/player/Luidgy-Laporal/Summary/27910,FC,6-8,240,St. Francis (PA),19950430
A.J. Lapray,/player/AJ-Lapray/Summary/56829,G,6-5,190,Rice,19400101
Cameron Lard,/player/Cameron-Lard/Summary/85598,PF,6-9,225,Iowa State,19970906
Kevin Larkin,/player/Kevin-Larkin/Summary/86136,G,6-5,180,Niagara,19960130
Mark Laros,/player/Mark-Laros/Summary/93368,C,6-10,223,Southeast Missouri State,19961210
Terry Larrier,/player/Terry-Larrier/Summary/52350,SF,6-8,192,Connecticut,19950815
Jacob Larsen,/player/Jacob-Larsen/Summary/53888,F,6-11,227,Gonzaga,19970505
Taylor Larson,/player/Taylor-Larson/Summary/86500,SG,6-4,215,Utah State,19400101
Michael Ballard,/player/Michael-Ballard/Summary/109279,G,6-4,194,Wisconsin,19400101
Mitchell Ballock,/player/Mitchell-Ballock/Summary/87272,SG,6-5,205,Creighton,19980702
Amidou Bamba,/player/Amidou-Bamba/Summary/107339,PF,6-8,240,Coastal Carolina,19980414
Mohamed Bamba,/player/Mohamed-Bamba/Summary/88784,C,6-11,225,Texas,19980512
Desmond Bane,/player/Desmond-Bane/Summary/107663,SG,6-5,215,Texas Christian,19980625
Darius Banks,/player/Darius-Banks/Summary/87274,SG,6-5,225,James Madison,19980226
Dwayne Banks,/player/Dwayne-Banks/Summary/98711,G,5-10,180,South Carolina State,19400101
Isaiah Banks,/player/Isaiah-Banks/Summary/121618,G,6-5,180,Florida International,19400101
James Banks,/player/James-Banks/Summary/88785,C,6-10,240,Texas,19980116
Payton Banks,/player/Payton-Banks/Summary/56676,F,6-6,223,South Florida,19940520
Kris Bankston,/player/Kris-Bankston/Summary/122332,F,6-8,194,Little Rock,19990611
Terrance Banyard,/player/Terrance-Banyard/Summary/124652,F,6-8,215,Arkansas-Pine Bluff,19400101
Djery Baptiste,/player/Djery-Baptiste/Summary/74072,C,6-10,235,Vanderbilt,19951112
Tyson Baptiste,/player/Tyson-Baptiste/Summary/107574,SG,6-2,185,Central Connecticut State,19400101
Koch Bar,/player/Koch-Bar/Summary/88722,C,6-11,230,Bradley,19970914
Peter Barba,/player/Peter-Barba/Summary/85462,SG,6-5,193,Columbia,19960516
Alex Barcello,/player/Alex-Barcello/Summary/87275,PG,6-2,180,Arizona,19980831
Sedrick Barefield,/player/Sedrick-Barefield/Summary/54838,PG,6-2,190,Utah,19961118
Kenneth Ogbe,/player/Kenneth-Ogbe/Summary/27064,GF,6-6,190,Utah Valley,19941116
Derek Ogbeide,/player/Derek-Ogbeide/Summary/86746,C,6-8,245,Georgia,19970328
Sylvester Ogbonda,/player/Sylvester-Ogbonda/Summary/84074,C,6-10,239,Georgia Tech,19960111
Danny Ogele,/player/Danny-Ogele/Summary/123798,F,6-7,220,Navy,19400101
Michael Oguine,/player/Michael-Oguine/Summary/84549,PG,6-2,171,Montana,19961223
John Ogwuche,/player/John-Ogwuche/Summary/86046,SG,6-1,190,New Hampshire,19970915
Chuba Ohams,/player/Chuba-Ohams/Summary/107279,PF,6-8,205,Fordham,19971222
Jake Ohmer,/player/Jake-Ohmer/Summary/121642,G,6-0,178,Western Kentucky,19400101
Demonte Ojinnaka,/player/Demonte-Ojinnaka/Summary/106865,GF,6-5,215,Indiana State,19400101
Ak Ojo,/player/Ak-Ojo/Summary/85223,PF,6-10,220,Manhattan,19960522
Mike Okauru,/player/Mike-Okauru/Summary/121334,G,6-3,180,Florida,19400101
Chuma Okeke,/player/Chuma-Okeke/Summary/88842,PF,6-8,230,Auburn,19400101
Duby Okeke,/player/Duby-Okeke/Summary/58143,C,6-8,247,Nebraska,19941125
Obim Okeke,/player/Obim-Okeke/Summary/127000,G,6-0,225,Baylor,19400101
Sunday Okeke,/player/Sunday-Okeke/Summary/88843,PF,6-8,230,Wake Forest,19980620
Marcus Jackson,/player/Marcus-Jackson/Summary/57068,G,6-4,185,UC Santa Barbara,19940922
Mark Jackson,/player/Mark-Jackson/Summary/89321,C,7-3,250,Pennsylvania,19400101
Marreon Jackson,/player/Marreon-Jackson/Summary/106503,PG,6-0,170,Toledo,19400101
Matt Jackson,/player/Matt-Jackson/Summary/28248,F,6-8,230,Grand Canyon,19950517
Nigel Jackson,/player/Nigel-Jackson/Summary/121775,F,6-7,215,Wagner,19400101
Paul Jackson,/player/Paul-Jackson/Summary/82913,G,6-2,175,Eastern Michigan,19400101
Quan Jackson,/player/Quan-Jackson/Summary/106745,SG,6-4,180,Georgia Southern,19971024
Rashad Jackson,/player/Rashad-Jackson/Summary/89295,SG,6-3,180,Portland,19951208
Tadric Jackson,/player/Tadric-Jackson/Summary/80071,G,6-2,203,Georgia Tech,19941026
Tony Jackson,/player/Tony-Jackson/Summary/107419,SG,6-5,205,Missouri-Kansas City,19400101
Tyrie Jackson,/player/Tyrie-Jackson/Summary/107954,PG,6-1,205,Virginia Tech,19400101
Vance Jackson,/player/Vance-Jackson/Summary/85591,PF,6-8,229,New Mexico,19970820
Will Jackson,/player/Will-Jackson/Summary/84007,SG,6-4,185,Georgia,19970326
Phil Carr,/player/Phil-Carr/Summary/89991,F,6-8,200,Morgan State,19951020
Shaquile Carr,/player/Shaquile-Carr/Summary/106908,PG,6-2,170,Grand Canyon,19400101
Tony Carr,/player/Tony-Carr/Summary/88727,PG,6-5,204,Penn State,19971011
Brent Carraway,/player/Brent-Carraway/Summary/112871,G,5-8,150,Presbyterian,19980118
Khadeen Carrington,/player/Khadeen-Carrington/Summary/52343,SG,6-4,195,Seton Hall,19951003
Brandon Carroll,/player/Brandon-Carroll/Summary/112920,GF,6-7,190,Bryant,19400101
Jeffrey Carroll,/player/Jeffrey-Carroll/Summary/56859,GF,6-6,220,Oklahoma State,19941106
John Carroll,/player/John-Carroll/Summary/79962,F,6-8,220,Hartford,19400101
Cezanne Carson,/player/Cezanne-Carson/Summary/85564,GF,6-6,200,Little Rock,19951121
Terrell Carter II,/player/Terrell-Carter-II/Summary/80955,C,6-10,290,Fresno State,19400101
Ed Carter III,/player/Ed-Carter-III/Summary/109401,G,6-1,174,Detroit-Mercy,19400101
Michael Carter III,/player/Michael-Carter-III/Summary/121458,G,6-4,190,Washington,19400101
Olin Carter III,/player/Olin-Carter-III/Summary/84853,PG,6-2,190,San Diego,19400101
Ben Carter,/player/Ben-Carter/Summary/28989,PF,6-9,230,Michigan State,19940822
Francis Kiapway,/player/Francis-Kiapway/Summary/80758,G,6-3,195,Ball State,19950107
Tyler Kidd,/player/Tyler-Kidd/Summary/122039,G,5-11,180,Eastern Washington,19400101
Justin Kier,/player/Justin-Kier/Summary/107308,SG,6-4,183,George Mason,19980530
George Kiernan,/player/George-Kiernan/Summary/84875,PF,6-7,225,Navy,19400101
Abu Kigab,/player/Abu-Kigab/Summary/92768,G,6-6,195,Oregon,19981103
Mayan Kiir,/player/Mayan-Kiir/Summary/89963,PF,6-9,201,LSU,19981015
Cory Kilby,/player/Cory-Kilby/Summary/84861,SF,6-7,195,Mercer,19960514
Joe Kilgore,/player/Joe-Kilgore/Summary/81365,G,6-5,190,Texas A&M-CC;,19960425
Sacha Killeya-Jones,/player/Sacha-Killeya-Jones/Summary/86013,PF,6-10,221,Kentucky,19980810
Jake Killingsworth,/player/Jake-Killingsworth/Summary/109381,G,6-5,198,Columbia,19400101
Dan Kimasa,/player/Dan-Kimasa/Summary/81419,F,6-8,225,Texas-RGV,19951002
Callum Kimberley,/player/Callum-Kimberley/Summary/122454,F,6-8,225,Idaho State,19400101
Lamarr Kimble,/player/Lamarr-Kimble/Summary/76744,PG,6-0,185,Saint Joseph's,19400101
Karl Harris,/player/Karl-Harris/Summary/85401,SG,6-5,185,Northern Arizona,19400101
Kevon Harris,/player/Kevon-Harris/Summary/107611,SF,6-6,225,Stephen F. Austin,19400101
LaMontray Harris,/player/LaMontray-Harris/Summary/88695,SF,6-7,210,Morehead State,19400101
Marcus Harris,/player/Marcus-Harris/Summary/81244,G,6-0,180,Sam Houston State,19400101
Matt Harris,/player/Matt-Harris/Summary/79977,G,6-1,198,UMass Lowell,19400101
Nick Harris,/player/Nick-Harris/Summary/80595,F,6-10,260,Charleston,19950907
Omega Harris,/player/Omega-Harris/Summary/80605,G,6-3,175,UTEP,19951005
Steve Harris,/player/Steve-Harris/Summary/85381,SG,6-4,180,Austin Peay,19961121
Terry Harris,/player/Terry-Harris/Summary/81323,GF,6-6,215,Eastern Michigan,19960320
Vicpatrick Harris,/player/Vicpatrick-Harris/Summary/124689,G,6-2,195,Toledo,19400101
Wesley Harris,/player/Wesley-Harris/Summary/118463,F,6-8,200,West Virginia,19400101
Juhwan Harris-Dyson,/player/Juhwan-Harris-Dyson/Summary/95900,SG,6-5,198,California,19980730
Christian Harrison,/player/Christian-Harrison/Summary/81485,GF,6-4,200,Georgia,19960306
Michael Gilmore,/player/Michael-Gilmore/Summary/80389,F,6-10,220,Florida Gulf Coast,19950115
Evan Gilyard,/player/Evan-Gilyard/Summary/105379,PG,5-10,155,UTEP,19980804
Jacob Gilyard,/player/Jacob-Gilyard/Summary/121600,PG,5-9,160,Richmond,19400101
Donald Gipson,/player/Donald-Gipson/Summary/85761,SF,6-3,197,Loyola Marymount,19400101
Asante Gist,/player/Asante-Gist/Summary/76756,PG,5-11,185,Eastern Kentucky,19970120
Richaud Gittens,/player/Richaud-Gittens/Summary/58047,G,6-4,195,Seattle,19951219
Harold Givens,/player/Harold-Givens/Summary/97613,G,6-7,200,Alcorn State,19950325
Musial Gjysma,/player/Musial-Gjysma/Summary/121656,F,6-6,230,Detroit-Mercy,19400101
B.J. Gladden,/player/BJ-Gladden/Summary/57411,F,6-6,210,Georgia Southern,19950617
Will Gladson,/player/Will-Gladson/Summary/85928,PF,6-10,255,Princeton,19400101
B.J. Glasford,/player/BJ-Glasford/Summary/57922,G,6-4,195,Stetson,19400101
James Glenn,/player/James-Glenn/Summary/122459,F,6-7,230,Jackson State,19400101
Maricus Glenn,/player/Maricus-Glenn/Summary/62621,C,6-10,235,Savannah State,19950228
Malik Martin,/player/Malik-Martin/Summary/24313,FC,6-11,214,South Florida,19950120
Ibrahima Diallo,/player/Ibrahima-Diallo/Summary/79922,FC,6-10,245,Manhattan,19400101
Idy Diallo,/player/Idy-Diallo/Summary/81532,C,6-11,245,UC Riverside,19400101
Ben Diamond,/player/Ben-Diamond/Summary/121946,G,5-8,145,Siena,19400101
Lamine Diane,/player/Lamine-Diane/Summary/95920,GF,6-7,200,Cal State Northridge,19971107
Cartier Diarra,/player/Cartier-Diarra/Summary/106938,SG,6-4,190,Kansas State,19980206
Mamadou Diarra,/player/Mamadou-Diarra/Summary/88087,PF,6-8,215,Connecticut,19970628
Mamoudou Diarra,/player/Mamoudou-Diarra/Summary/88431,FC,6-9,215,Cincinnati,19971004
Pape Diatta,/player/Pape-Diatta/Summary/107474,SF,6-7,220,Georgia,19400101
Dajour Dickens,/player/Dajour-Dickens/Summary/88793,C,7-0,220,Providence,19400101
Jeremiah Dickerson,/player/Jeremiah-Dickerson/Summary/122379,G,5-10,150,Cal State Bakersfield,19990926
Brandon Tabb,/player/Brandon-Tabb/Summary/109443,GF,6-4,180,Bethune-Cookman,19400101
Luuk Bree,/player/Luuk-Bree/Summary/75578,SF,6-9,225,Bradley,19960224
Ore Arogundade,/player/Ore-Arogundade/Summary/80851,G,6-3,185,Drake,19400101
Ruben Arroyo-Felix,/player/Ruben-Arroyo-Felix/Summary/80505,F,6-8,215,Presbyterian,19960921
Geno Artison,/player/Geno-Artison/Summary/80957,F,6-9,205,Tulsa,19951002
Trevon Ary-Turner,/player/Trevon-Ary-Turner/Summary/122082,G,6-3,185,Weber State,19400101
Ahsan Asadullah,/player/Ahsan-Asadullah/Summary/122097,FC,6-8,260,Lipscomb,19400101
Austin Ash,/player/Austin-Ash/Summary/121311,G,6-2,155,Iowa,19980609
Jordan Ash,/player/Jordan-Ash/Summary/84173,SG,6-3,200,Northwestern,19960926
B.K. Ashe,/player/BK-Ashe/Summary/58607,G,6-1,160,Longwood,19950818
Dennis Ashley,/player/Dennis-Ashley/Summary/97678,G,6-1,169,Maine,19960713
Taevon Ashmeade,/player/Taevon-Ashmeade/Summary/118414,G,6-4,185,Robert Morris,19970412
Makai Ashton-Langford,/player/Makai-Ashton-Langford/Summary/85956,PG,6-3,185,Providence,19971003
Kwe Askew,/player/Kwe-Askew/Summary/89157,PF,6-7,205,Long Island,19400101
Samson Usilo,/player/Samson-Usilo/Summary/71586,G,6-4,205,Manhattan,19951124
Jeremiah Usiosefe,/player/Jeremiah-Usiosefe/Summary/106667,GF,6-5,215,Western Illinois,19400101
Daniel Utomi,/player/Daniel-Utomi/Summary/89210,SF,6-6,215,Akron,19400101
Victor Uyaelunmo,/player/Victor-Uyaelunmo/Summary/88910,C,6-11,210,USC,19980320
Montenia Nelson,/player/Montenia-Nelson/Summary/122026,G,6-1,185,Presbyterian,19400101
Sa'eed Nelson,/player/Saeed-Nelson/Summary/107273,PG,6-1,175,American University,19400101
Tyler Nelson,/player/Tyler-Nelson/Summary/80899,G,6-3,180,Fairfield,19400101
Zach Nelson,/player/Zach-Nelson/Summary/57609,F,6-8,220,Utah Valley,19400101
R.J. Nembhard,/player/RJ-Nembhard/Summary/89965,PG,6-3,180,Texas Christian,19990322
"Marvin Nesbitt, Jr.",/player/Marvin-Nesbitt-Jr/Summary/122404,G,6-4,180,Missouri-Kansas City,19400101
Aaron Nettles,/player/Aaron-Nettles/Summary/122412,G,5-11,175,Seattle,19400101
Cameron Neubauer,/player/Cameron-Neubauer/Summary/32714,F,6-7,220,San Diego,19941115
Matt Neufeld,/player/Matt-Neufeld/Summary/72593,PF,6-11,225,UC Davis,19960418
Sam Neumann,/player/Sam-Neumann/Summary/84922,SF,6-7,200,Montana State,19960918
Josh Newkirk,/player/Josh-Newkirk/Summary/24693,G,6-1,195,Indiana,19940417
Shavar Newkirk,/player/Shavar-Newkirk/Summary/71582,PG,6-0,185,Saint Joseph's,19960506
Brandon Newman,/player/Brandon-Newman/Summary/122852,G,6-4,180,Louisiana-Monroe,19400101
Malik Newman,/player/Malik-Newman/Summary/52036,SG,6-3,190,Kansas,19970221
Paul Newman,/player/Paul-Newman/Summary/121700,C,6-9,240,Bucknell,19400101
Alexander Larsson,/player/Alexander-Larsson/Summary/37890,F,6-10,260,UC Riverside,19950814
Kwei Lartey,/player/Kwei-Lartey/Summary/102974,F,6-4,200,North Carolina A&T;,19970112
