Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Xavier Tillman\xavier-tillman-1,FR,2017-18,F,Michigan State,Big Ten,33,264,22,0.669,0.654,12.5,18.7,16,6.5,1.8,7.8,16.5,15,87,128.1,90.2,0.7,0.7,1.4,3.7,7.4,11.1
Paschal Chukwu\paschal-chukwu-1,JR,2017-18,C,Syracuse,ACC,33,902,18.6,0.662,0.663,12.7,16.1,14.4,3.4,1.7,12.9,22.4,10.1,197,121.5,95.5,1.4,1.9,3.3,0.9,10,10.9
Marvin Bagley III\marvin-bagleyiii-1,FR,2017-18,F,Duke,ACC,27,887,31,0.634,0.63,13.9,22.5,18.5,9.4,1.6,3.1,12.7,26.9,511,126.1,95.9,3.7,1.8,5.6,7.3,3.5,10.8
Jontay Porter\jontay-porter-1,FR,2017-18,F,Missouri,SEC,31,754,21.7,0.568,0.52,8,23.1,16.2,18.7,2,7.5,18.3,22.5,318,112.1,93.7,1.6,1.7,3.4,3.4,7.5,10.8
Kenrich Williams\kenrich-williams-1,SR,2017-18,G,Texas Christian,Big 12,30,1075,20.6,0.571,0.547,9.9,21.6,15.8,18.4,2.8,1.5,15.5,18.3,434,121.5,104.1,2.9,1.4,4.3,6.1,4.7,10.8
DeAndre Ayton\deandre-ayton-1,FR,2017-18,F,Arizona,Pac-12,31,1030,32.3,0.657,0.63,13,28.2,21.2,9.9,0.8,6.1,11.2,26.1,579,131.5,98.8,4.8,1.9,6.7,6.8,3.9,10.7
De'Ron Davis\deron-davis-1,,2017-18,F,Indiana,Big Ten,15,282,28.6,0.593,0.615,11.1,15.4,13.2,12.8,2.5,8.8,9,24.1,135,121.7,98.3,0.9,0.5,1.5,4.4,6.3,10.7
Donte Grantham\donte-grantham-1,SR,2017-18,F,Clemson,ACC,19,605,23.8,0.654,0.632,6.1,18.6,12.7,16.1,1.5,3.1,13.1,20.5,256,125.9,96.6,2,1.2,3.2,6,4.7,10.7
Luke Maye\luke-maye-1,JR,2017-18,F,North Carolina,ACC,32,1044,25.3,0.57,0.56,10,22.8,16.6,13.3,1.8,3.9,10.7,24.6,525,120.5,99.2,3.3,1.8,5.2,6,4.7,10.7
Matt Haarms\matt-haarms-1,FR,2017-18,F,Purdue,Big Ten,34,561,17.9,0.602,0.606,7,14.5,11.1,5.8,1.2,13.3,16.5,15.2,161,112.9,92.1,0.8,1.4,2.2,0.8,9.7,10.6
Keenan Evans\keenan-evans-1,SR,2017-18,G,Texas Tech,Big 12,30,862,26.2,0.607,0.535,1.3,10.8,6.2,23.5,2.6,1.4,11.7,28.4,492,124.4,95.9,3.6,1.8,5.4,7.6,2.8,10.4
Sagaba Konate\sagaba-konate-1,SO,2017-18,F,West Virginia,Big 12,30,766,24.7,0.565,0.522,10,24.5,16.8,4.4,1,16.1,10.3,19.7,304,119.7,91.3,1.9,1.9,3.8,0.6,9.8,10.4
Khadeem Lattin\khadeem-lattin-1,SR,2017-18,F,Oklahoma,Big 12,31,630,22.2,0.633,0.599,10.2,20.4,15.5,4.2,3,8.9,11.7,13.7,216,129.3,97.9,1.6,1.2,2.7,2.7,7.7,10.4
Kenny Goins\kenny-goins-1,JR,2017-18,F,Michigan State,Big Ten,29,421,13.6,0.514,0.5,7.8,14.8,11.8,13.2,1.7,5.4,18.1,9.2,88,119,94,0.6,0.9,1.5,2.7,7.6,10.3
Ty Jerome\ty-jerome-1,SO,2017-18,G,Virginia,ACC,30,900,18.6,0.57,0.544,1.2,11.1,6.3,24.9,3.3,0.1,14.7,21.1,325,113.2,88.5,1.9,2.5,4.4,5.2,5.1,10.3
Isaiah Roby\isaiah-roby-1,SO,2017-18,F,Nebraska,Big Ten,31,745,22.4,0.652,0.621,7.9,19.6,14,14.3,1.6,7.7,18.2,17.2,273,122,95.5,1.9,1.6,3.5,3.7,6.6,10.3
Horace Spencer\horace-spencer-1,JR,2017-18,F,Auburn,SEC,31,520,17.7,0.594,0.553,9.7,21.5,15.6,7.2,3.6,8.1,21.9,13.5,153,112.8,92,0.7,1.3,2,1.2,9.1,10.3
Anas Mahmoud\anas-mahmoud-1,SR,2017-18,F,Louisville,ACC,32,792,19.3,0.548,0.557,8.9,14.6,11.9,8.1,2.1,12.1,17.9,16.3,242,105.5,94.7,0.8,1.7,2.6,0.3,9.9,10.2
Trevor Stanback\trevor-stanback-1,SO,2017-18,F,Stanford,Pac-12,13,52,18.5,0.716,0.833,13.7,10.4,11.9,6.9,3.2,7.8,26.4,10.6,13,120.5,98.2,0.1,0.1,0.2,2.5,7.7,10.2
Udoka Azubuike\udoka-azubuike-1,SO,2017-18,C,Kansas,Big 12,31,753,29.5,0.721,0.774,12.3,20.2,16.5,5.1,1.2,7.8,15.7,23.2,361,125.2,98.1,2.6,1.4,4,5.3,4.8,10.1
Mitchell Solomon\mitchell-solomon-1,SR,2017-18,F,Oklahoma State,Big 12,32,766,20.9,0.623,0.572,14.4,15.7,15,11.2,2.2,4.7,18.8,16.4,290,123,100.7,2,1.2,3.2,4.4,5.8,10.1
Cassius Winston\cassius-winston-1,SO,2017-18,G,Michigan State,Big Ten,33,917,23.5,0.691,0.655,0.9,11.6,7,43.6,1.3,0.2,21.4,21,467,131.8,99.5,3.9,1.6,5.5,9.1,1,10.1
Jarrett Culver\jarrett-culver-1,FR,2017-18,G,Texas Tech,Big 12,31,815,20.6,0.586,0.572,4.8,15.6,10.3,13,2.6,3.3,12.7,21.5,333,117.3,92.8,2,1.9,3.9,4.7,5.2,10
Jock Landale\jock-landale-1,JR,2017-18,C,Saint Mary's (CA),WCC,33,1105,34,0.672,0.644,12,27.2,20.2,13.8,0.8,3.4,12.7,30.3,667,129.9,97.7,5.8,2.1,7.9,7,3,10
Khyri Thomas\khyri-thomas-1,JR,2017-18,G,Creighton,Big East,31,966,22.7,0.66,0.64,4,10.7,7.6,15.3,2.8,0.7,12.5,21.3,456,125.1,101.5,3.1,1.5,4.6,7.1,2.8,10
Keita Bates-Diop\keita-bates-diop-1,JR,2017-18,F,Ohio State,Big Ten,32,1045,27.9,0.577,0.545,5.7,25.2,16,11,1.8,6,9.4,29.5,557,116.9,93.1,3.4,2.4,5.8,5,4.8,9.9
Matt Rafferty\matt-rafferty-1,JR,2017-18,F,Furman,Southern,33,868,27.4,0.643,0.624,9.8,21.3,15.6,19.4,3.5,2.7,10.3,18.5,399,136.1,91.7,3.5,2.1,5.6,5,4.9,9.9
Marques Bolden\marques-bolden-1,SO,2017-18,C,Duke,ACC,23,309,19.7,0.601,0.606,10.5,18.3,14.7,7.7,1.5,7.4,14.4,13.8,96,123.4,95.7,0.7,0.6,1.3,2.7,7,9.7
Justinian Jessup\justinian-jessup-1,SO,2017-18,G,Boise State,MWC,30,874,19.5,0.658,0.645,2,17.1,9.7,11.3,2.6,2.4,13.3,17.6,317,124.9,94.7,2.3,1.9,4.2,5.2,4.5,9.7
Miles Bridges\miles-bridges-1,SO,2017-18,G,Michigan State,Big Ten,32,997,22.8,0.582,0.541,4.9,18.3,12.6,17,1.2,2.7,12.4,26.9,496,118.5,94.8,3.1,2.2,5.3,5.7,3.9,9.6
Shaquille Morris\shaquille-morris-1,SR,2017-18,C,Wichita State,AAC,30,709,27.6,0.618,0.594,8.1,17.8,13.1,11.4,1.2,8,10.8,26.7,373,123.3,97.9,2.6,1.3,3.9,4.8,4.8,9.6
Raymond Spalding\raymond-spalding-1,JR,2017-18,F,Louisville,ACC,32,856,25.6,0.566,0.551,13.8,21.2,17.8,8.9,3,6.2,13.6,23.3,396,114.1,92.2,2.1,2.1,4.2,3.2,6.4,9.6
Mike Watkins\mike-watkins-1,SO,2017-18,F,Penn State,Big Ten,29,764,28.3,0.678,0.685,8.9,30.7,19.7,5.4,2.1,9.6,16,20.3,311,121.8,88.6,2.1,2.1,4.2,2.3,7.3,9.6
