Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
Andrew Wiggins,2016-17,MIN,82,"3,048.1",1.73,-2.93,-1.20,2.39
Karl-Anthony Towns,2016-17,MIN,82,"3,029.9",3.38,-1.34,2.05,8.75
James Harden,2016-17,HOU,81,"2,947.6",6.65,-1.25,5.40,14.41
Giannis Antetokounmpo,2016-17,MIL,80,"2,845.4",2.41,2.60,5.01,13.62
John Wall,2016-17,WAS,78,"2,835.8",3.47,-0.91,2.56,9.13
Jimmy Butler,2016-17,CHI,76,"2,808.9",3.93,2.12,6.04,15.27
Harrison Barnes,2016-17,DAL,79,"2,803.3",-0.56,0.61,0.05,4.48
Russell Westbrook,2016-17,OKC,81,"2,802.3",5.90,1.05,6.96,16.59
C.J. McCollum,2016-17,POR,80,"2,795.6",2.68,-0.97,1.72,7.51
LeBron James,2016-17,CLE,74,"2,793.0",6.45,0.92,7.37,16.73
Trevor Ariza,2016-17,HOU,80,"2,772.9",2.09,0.56,2.65,9.00
Rudy Gobert,2016-17,UTA,81,"2,743.9",1.51,5.61,7.11,16.61
Kemba Walker,2016-17,CHO,79,"2,739.9",4.06,0.49,4.55,12.37
Devin Booker,2016-17,PHO,78,"2,730.2",1.01,-2.14,-1.13,2.22
Anthony Davis,2016-17,NOP,75,"2,706.9",1.73,3.49,5.22,13.51
Damian Lillard,2016-17,POR,75,"2,692.7",5.17,-1.46,3.71,10.61
Paul George,2016-17,IND,75,"2,688.9",2.92,0.60,3.52,10.39
Bradley Beal,2016-17,WAS,77,"2,683.8",4.20,-1.08,3.12,9.59
Jeff Teague,2016-17,IND,82,"2,656.8",1.96,-0.44,1.51,6.82
Gorgui Dieng,2016-17,MIN,82,"2,653.4",-1.04,2.39,1.36,6.52
Klay Thompson,2016-17,GSW,78,"2,648.7",3.27,-0.96,2.30,8.07
Stephen Curry,2016-17,GSW,79,"2,638.5",8.06,1.06,9.11,18.16
DeMar DeRozan,2016-17,TOR,74,"2,620.6",2.21,-2.91,-0.71,2.88
Nicolas Batum,2016-17,CHO,77,"2,616.7",0.62,0.06,0.68,5.28
Otto Porter,2016-17,WAS,80,"2,605.3",1.94,1.04,2.98,9.11
DeAndre Jordan,2016-17,LAC,81,"2,570.0",2.24,4.45,6.69,14.69
Isaiah Thomas,2016-17,BOS,76,"2,568.0",7.60,-3.70,3.90,10.29
Tobias Harris,2016-17,DET,82,"2,566.9",0.94,0.55,1.49,6.60
Marcus Morris,2016-17,DET,79,"2,565.0",-0.63,0.28,-0.35,3.39
Marcin Gortat,2016-17,WAS,82,"2,555.1",-0.43,0.70,0.27,4.45
Myles Turner,2016-17,IND,81,"2,540.4",0.70,2.90,3.60,9.97
Carmelo Anthony,2016-17,NYK,74,"2,538.5",1.64,-2.60,-0.96,2.37
Marc Gasol,2016-17,MEM,74,"2,530.1",1.63,0.49,2.12,7.53
Kentavious Caldwell-Pope,2016-17,DET,76,"2,528.4",0.45,-1.38,-0.93,2.37
Kyrie Irving,2016-17,CLE,72,"2,524.5",4.88,-1.58,3.30,9.20
Gordon Hayward,2016-17,UTA,73,"2,516.6",3.53,0.53,4.06,10.62
Hassan Whiteside,2016-17,MIA,77,"2,512.6",0.51,1.84,2.36,7.86
Wesley Matthews,2016-17,DAL,73,"2,495.3",-0.74,-0.22,-0.97,2.27
Dennis Schroder,2016-17,ATL,79,"2,483.8",0.16,-2.45,-2.29,0.06
Kawhi Leonard,2016-17,SAS,74,"2,474.5",5.50,0.11,5.62,12.69
Draymond Green,2016-17,GSW,76,"2,470.8",1.40,4.32,5.71,12.73
Ricky Rubio,2016-17,MIN,75,"2,468.9",1.28,0.33,1.61,6.45
DeMarcus Cousins,2016-17,TOT,72,"2,464.9",2.88,0.67,3.55,9.53
Courtney Lee,2016-17,NYK,77,"2,459.6",0.40,-2.18,-1.78,0.99
Goran Dragic,2016-17,MIA,73,"2,459.4",2.01,-1.54,0.47,4.61
Serge Ibaka,2016-17,TOT,79,"2,422.5",-0.03,0.98,0.95,5.34
Elfrid Payton,2016-17,ORL,82,"2,412.4",1.36,0.03,1.40,6.02
Andre Drummond,2016-17,DET,81,"2,409.8",-1.18,0.87,-0.31,3.26
Marcus Smart,2016-17,BOS,79,"2,401.4",-1.77,0.21,-1.56,1.28
Jordan Clarkson,2016-17,LAL,82,"2,396.7",-0.96,-3.43,-4.38,-3.03
Steven Adams,2016-17,OKC,80,"2,389.3",-0.19,2.64,2.46,7.65
Andre Roberson,2016-17,OKC,79,"2,375.9",-0.78,3.09,2.31,7.39
Markieff Morris,2016-17,WAS,76,"2,374.3",-0.79,1.75,0.96,5.22
Solomon Hill,2016-17,NOP,80,"2,373.6",-1.55,0.76,-0.80,2.42
Michael Kidd-Gilchrist,2016-17,CHO,81,"2,348.1",-1.98,3.88,1.90,6.70
Paul Millsap,2016-17,ATL,69,"2,343.3",1.11,2.00,3.11,8.55
Tristan Thompson,2016-17,CLE,78,"2,336.4",-1.43,1.52,0.09,3.78
Tony Snell,2016-17,MIL,80,"2,335.2",-0.49,-1.58,-2.06,0.48
LaMarcus Aldridge,2016-17,SAS,72,"2,333.8",0.00,0.39,0.40,4.27
Jae Crowder,2016-17,BOS,72,"2,332.6",2.83,1.02,3.85,9.38
Eric Gordon,2016-17,HOU,75,"2,324.2",0.42,-1.31,-0.89,2.29
Aaron Gordon,2016-17,ORL,80,"2,297.8",1.23,-0.44,0.79,4.80
Marvin Williams,2016-17,CHO,76,"2,295.8",-0.66,1.03,0.37,4.16
Mike Conley,2016-17,MEM,69,"2,292.8",4.58,-0.16,4.42,10.14
Brandon Ingram,2016-17,LAL,79,"2,279.2",-1.55,-2.79,-4.34,-2.78
Robin Lopez,2016-17,CHI,81,"2,270.6",-1.58,0.85,-0.73,2.43
Allen Crabbe,2016-17,POR,79,"2,254.8",-1.02,-1.40,-2.42,-0.08
Kyle Lowry,2016-17,TOR,60,"2,243.3",4.66,1.01,5.67,11.53
Thaddeus Young,2016-17,IND,74,"2,236.8",-0.63,1.44,0.81,4.71
P.J. Tucker,2016-17,TOT,81,"2,236.2",-1.16,1.12,-0.04,3.45
Maurice Harkless,2016-17,POR,77,"2,223.8",0.89,0.27,1.15,5.14
Brook Lopez,2016-17,BRK,75,"2,221.9",1.34,0.40,1.75,6.07
Victor Oladipo,2016-17,OKC,67,"2,221.0",-0.32,1.79,1.48,5.70
Evan Fournier,2016-17,ORL,68,"2,200.5",0.26,-0.43,-0.17,3.19
Dwight Howard,2016-17,ATL,74,"2,198.3",-1.42,2.93,1.50,5.71
J.J. Redick,2016-17,LAC,78,"2,197.8",3.08,-0.02,3.06,7.76
Wilson Chandler,2016-17,DEN,71,"2,196.1",0.52,-1.73,-1.21,1.72
Al Horford,2016-17,BOS,68,"2,193.6",1.46,0.96,2.43,6.88
Jrue Holiday,2016-17,NOP,67,"2,189.3",0.19,1.00,1.20,5.20
Nik Stauskas,2016-17,PHI,80,"2,187.8",-0.66,-2.67,-3.34,-1.41
Tyler Johnson,2016-17,MIA,73,"2,178.6",-0.13,0.70,0.57,4.24
Eric Bledsoe,2016-17,PHO,66,"2,175.8",2.43,-0.15,2.28,6.66
Kristaps Porzingis,2016-17,NYK,66,"2,164.4",0.04,1.65,1.69,5.81
Nikola Vucevic,2016-17,ORL,75,"2,162.0",-0.51,2.09,1.58,5.69
Jamal Crawford,2016-17,LAC,82,"2,157.4",-2.07,-4.22,-6.30,-5.14
Tim Hardaway,2016-17,ATL,79,"2,153.6",2.13,-0.56,1.56,5.63
Mason Plumlee,2016-17,TOT,81,"2,147.5",0.64,0.51,1.14,4.93
Ersan Ilyasova,2016-17,TOT,82,"2,142.7",0.38,0.31,0.69,4.35
Danilo Gallinari,2016-17,DEN,63,"2,134.8",3.01,0.18,3.19,7.69
T.J. McConnell,2016-17,PHI,81,"2,133.3",-1.07,0.13,-0.94,1.98
Julius Randle,2016-17,LAL,74,"2,132.0",-0.77,-1.18,-1.95,0.60
Dario Saric,2016-17,PHI,81,"2,128.5",-2.11,-1.58,-3.69,-1.92
Robert Covington,2016-17,PHI,67,"2,118.0",-1.14,4.28,3.14,7.85
Ryan Anderson,2016-17,HOU,72,"2,115.6",2.06,0.33,2.38,6.53
JaMychal Green,2016-17,MEM,77,"2,101.1",-0.92,1.56,0.65,4.20
James Johnson,2016-17,MIA,76,"2,086.4",-0.18,1.93,1.75,5.73
Bojan Bogdanovic,2016-17,TOT,81,"2,081.4",-0.22,-2.18,-2.40,-0.05
Derrick Rose,2016-17,NYK,64,"2,080.8",0.81,-2.68,-1.87,0.72
Blake Griffin,2016-17,LAC,61,"2,076.4",3.66,1.14,4.80,9.55
Kevin Durant,2016-17,GSW,62,"2,070.7",5.62,1.33,6.95,12.00
Jonas Valanciunas,2016-17,TOR,80,"2,065.7",-0.05,0.40,0.35,3.70
Darren Collison,2016-17,SAC,68,"2,063.8",1.06,-0.81,0.25,3.57
Patrick Beverley,2016-17,HOU,67,"2,056.4",0.95,1.47,2.42,6.39
Austin Rivers,2016-17,LAC,74,"2,053.7",-1.24,-3.20,-4.44,-2.63
T.J. Warren,2016-17,PHO,66,"2,048.0",0.32,-1.62,-1.29,1.46
Jameer Nelson,2016-17,DEN,75,"2,044.7",0.64,-0.31,0.34,3.64
Nikola Jokic,2016-17,DEN,73,"2,037.4",4.83,1.52,6.34,11.07
Seth Curry,2016-17,DAL,70,"2,029.2",0.76,-0.13,0.63,4.03
Cory Joseph,2016-17,TOR,80,"2,003.3",-0.67,-1.42,-2.09,0.38
Andre Iguodala,2016-17,GSW,76,"1,998.0",0.55,-0.54,0.01,3.13
Monta Ellis,2016-17,IND,74,"1,997.2",-1.99,-1.66,-3.65,-1.65
Lou Williams,2016-17,TOT,81,"1,993.8",3.00,-1.81,1.19,4.66
Taj Gibson,2016-17,TOT,78,"1,986.9",-1.33,0.65,-0.68,2.19
Matthew Dellavedova,2016-17,MIL,76,"1,986.3",-1.31,-1.18,-2.49,-0.17
Malcolm Brogdon,2016-17,MIL,75,"1,982.4",0.80,-1.21,-0.41,2.56
Joe Ingles,2016-17,UTA,82,"1,971.6",0.88,-0.71,0.17,3.31
Rodney McGruder,2016-17,MIA,78,"1,965.7",-1.22,-0.88,-2.11,0.32
Kent Bazemore,2016-17,ATL,73,"1,962.2",-1.36,-0.19,-1.55,1.01
Ish Smith,2016-17,DET,81,"1,955.5",0.18,0.27,0.45,3.65
Terrence Ross,2016-17,TOT,78,"1,955.0",1.33,-0.49,0.84,4.12
Frank Kaminsky,2016-17,CHO,75,"1,953.9",0.17,-1.68,-1.51,1.10
Jon Leuer,2016-17,DET,75,"1,942.7",-1.12,1.08,-0.04,2.98
Iman Shumpert,2016-17,CLE,76,"1,937.8",-1.52,-1.04,-2.55,-0.16
Chris Paul,2016-17,LAC,61,"1,921.3",6.16,3.83,9.99,14.16
Tony Allen,2016-17,MEM,71,"1,912.7",-1.59,1.60,0.01,3.00
Buddy Hield,2016-17,TOT,82,"1,888.6",-1.12,-1.87,-2.99,-0.83
Kevin Love,2016-17,CLE,60,"1,883.5",2.48,1.50,3.98,7.71
DeMarre Carroll,2016-17,TOR,72,"1,880.8",-0.08,0.67,0.58,3.66
Joe Johnson,2016-17,UTA,78,"1,842.8",0.27,-1.80,-1.53,1.01
Rajon Rondo,2016-17,CHI,69,"1,842.3",-1.17,-0.84,-2.01,0.40
Avery Bradley,2016-17,BOS,55,"1,833.4",0.03,-1.12,-1.09,1.56
Greg Monroe,2016-17,MIL,81,"1,823.4",0.89,0.25,1.14,4.22
E'Twaun Moore,2016-17,NOP,73,"1,820.0",-0.65,-1.74,-2.39,-0.06
D'Angelo Russell,2016-17,LAL,63,"1,810.6",0.76,-1.84,-1.07,1.56
Danny Green,2016-17,SAS,68,"1,806.3",-0.67,1.58,0.91,3.93
Brandon Jennings,2016-17,TOT,81,"1,801.5",-0.52,-1.17,-1.69,0.82
Vince Carter,2016-17,MEM,73,"1,799.6",0.69,0.87,1.56,4.69
Bismack Biyombo,2016-17,ORL,81,"1,793.1",-3.55,0.58,-2.97,-0.79
Dwyane Wade,2016-17,CHI,60,"1,792.0",-0.55,-0.08,-0.63,2.03
Luc Mbah a Moute,2016-17,LAC,80,"1,786.7",-0.65,2.71,2.06,5.22
Zach Randolph,2016-17,MEM,73,"1,786.4",-1.03,-1.75,-2.78,-0.51
Gary Harris,2016-17,DEN,57,"1,782.2",3.34,-1.58,1.76,4.77
Marco Belinelli,2016-17,CHO,74,"1,777.7",0.04,-2.45,-2.42,-0.06
Matt Barnes,2016-17,TOT,74,"1,775.9",-1.63,-0.32,-1.96,0.46
C.J. Miles,2016-17,IND,76,"1,775.8",0.83,-0.61,0.21,3.03
Al-Farouq Aminu,2016-17,POR,61,"1,773.6",-1.79,1.02,-0.77,1.87
Jamal Murray,2016-17,DEN,82,"1,763.6",-0.62,-0.74,-1.36,1.18
Rondae Hollis-Jefferson,2016-17,BRK,78,"1,761.9",-1.71,1.39,-0.31,2.38
Trevor Booker,2016-17,BRK,71,"1,755.0",-2.08,0.63,-1.45,1.01
Patty Mills,2016-17,SAS,80,"1,754.7",2.06,0.01,2.08,5.16
Kyle Korver,2016-17,TOT,67,"1,754.1",-0.26,-1.88,-2.14,0.28
Sean Kilpatrick,2016-17,BRK,70,"1,753.6",-0.40,-2.20,-2.60,-0.29
Zach LaVine,2016-17,MIN,47,"1,748.2",0.17,-1.39,-1.22,1.33
Marquese Chriss,2016-17,PHO,82,"1,743.4",-1.49,-0.77,-2.26,0.12
Ty Lawson,2016-17,SAC,69,"1,731.6",-0.21,-0.86,-1.07,1.47
Garrett Temple,2016-17,SAC,65,"1,729.2",-0.82,-0.43,-1.25,1.27
Jabari Parker,2016-17,MIL,51,"1,727.9",0.77,-1.49,-0.73,1.87
Cody Zeller,2016-17,CHO,62,"1,725.2",0.00,3.33,3.32,6.51
Will Barton,2016-17,DEN,60,"1,705.3",-0.29,-1.13,-1.42,1.08
Raymond Felton,2016-17,LAC,80,"1,699.8",-3.18,-2.72,-5.90,-3.70
Nikola Mirotic,2016-17,CHI,70,"1,679.7",1.15,0.38,1.53,4.34
Gerald Henderson,2016-17,PHI,72,"1,666.6",-1.37,-1.18,-2.55,-0.27
Evan Turner,2016-17,POR,65,"1,658.8",-3.19,-0.69,-3.89,-1.67
Deron Williams,2016-17,TOT,64,"1,657.2",-0.17,-0.85,-1.02,1.50
Dante Cunningham,2016-17,NOP,66,"1,648.6",-0.62,-0.52,-1.13,1.32
Isaiah Whitehead,2016-17,BRK,73,"1,643.2",-2.22,-0.70,-2.93,-0.63
Dorian Finney-Smith,2016-17,DAL,81,"1,642.0",-1.66,-0.09,-1.76,0.63
Justin Holiday,2016-17,NYK,82,"1,639.4",-0.45,1.04,0.59,3.21
Domantas Sabonis,2016-17,OKC,81,"1,630.0",-3.48,1.27,-2.21,0.08
Pau Gasol,2016-17,SAS,64,"1,626.8",1.01,0.05,1.07,3.69
Josh Richardson,2016-17,MIA,53,"1,615.4",-1.13,0.74,-0.39,2.10
Richard Jefferson,2016-17,CLE,79,"1,614.2",-1.50,-0.68,-2.18,0.23
Amir Johnson,2016-17,BOS,80,"1,606.2",0.18,2.84,3.02,5.66
Kelly Oubre,2016-17,WAS,79,"1,604.4",-2.59,-0.55,-3.14,-0.80
Patrick Patterson,2016-17,TOR,65,"1,598.9",0.86,1.21,2.07,4.67
Thabo Sefolosha,2016-17,ATL,62,"1,595.3",-1.32,1.86,0.54,3.08
Rodney Hood,2016-17,UTA,59,"1,593.1",-0.11,0.34,0.23,2.74
Tony Parker,2016-17,SAS,63,"1,586.8",-0.63,-0.31,-0.94,1.47
Arron Afflalo,2016-17,SAC,61,"1,580.5",-1.23,-2.74,-3.97,-1.59
Alex Len,2016-17,PHO,77,"1,559.8",-3.24,0.43,-2.81,-0.50
Nick Young,2016-17,LAL,60,"1,556.1",2.01,-1.01,1.00,3.45
Clint Capela,2016-17,HOU,65,"1,550.8",0.93,1.66,2.59,4.99
George Hill,2016-17,UTA,49,"1,543.5",2.53,1.80,4.32,6.81
Kelly Olynyk,2016-17,BOS,75,"1,538.7",-1.74,0.40,-1.34,1.02
D.J. Augustin,2016-17,ORL,78,"1,538.4",-2.92,-2.51,-5.44,-3.14
Jeff Green,2016-17,ORL,69,"1,533.9",-2.98,-1.25,-4.23,-1.96
Enes Kanter,2016-17,OKC,72,"1,532.5",1.21,-2.88,-1.67,0.72
Jerami Grant,2016-17,TOT,80,"1,531.6",-1.85,-1.63,-3.48,-1.10
Tim Frazier,2016-17,NOP,65,"1,525.2",-0.80,-0.61,-1.41,0.93
Sergio Rodriguez,2016-17,PHI,68,"1,517.7",-0.76,-1.04,-1.80,0.52
Shabazz Muhammad,2016-17,MIN,78,"1,515.8",-0.96,-1.21,-2.18,0.18
Doug McDermott,2016-17,TOT,66,"1,508.2",-0.28,-2.63,-2.90,-0.50
James Ennis,2016-17,MEM,64,"1,501.1",-1.40,0.53,-0.87,1.46
Wayne Ellington,2016-17,MIA,62,"1,498.9",1.40,-1.51,-0.11,2.24
Langston Galloway,2016-17,TOT,74,"1,494.5",-0.97,-0.96,-1.92,0.40
Luol Deng,2016-17,LAL,56,"1,485.7",-1.90,1.16,-0.74,1.58
David Lee,2016-17,SAS,79,"1,478.2",-0.21,1.35,1.13,3.44
Anthony Tolliver,2016-17,SAC,65,"1,476.7",-0.34,-1.08,-1.42,0.92
Andrew Harrison,2016-17,MEM,72,"1,473.6",-2.20,0.36,-1.84,0.46
Larry Nance,2016-17,LAL,63,"1,442.4",-0.85,1.75,0.90,3.12
Glenn Robinson,2016-17,IND,69,"1,427.8",-2.12,-0.60,-2.72,-0.37
Reggie Jackson,2016-17,DET,52,"1,423.8",-0.26,-1.34,-1.60,0.68
Dirk Nowitzki,2016-17,DAL,54,"1,423.1",0.46,0.57,1.03,3.22
Willie Cauley-Stein,2016-17,SAC,75,"1,420.8",-1.69,0.10,-1.59,0.70
Sam Dekker,2016-17,HOU,77,"1,419.4",-1.47,-1.02,-2.50,-0.08
Kosta Koufos,2016-17,SAC,71,"1,418.4",-2.40,1.97,-0.43,1.80
Emmanuel Mudiay,2016-17,DEN,55,"1,406.2",-2.07,-2.05,-4.12,-1.51
Channing Frye,2016-17,CLE,74,"1,398.3",0.84,-0.60,0.23,2.40
Jonathon Simmons,2016-17,SAS,78,"1,393.8",-2.46,1.34,-1.12,1.11
Jusuf Nurkic,2016-17,TOT,65,"1,390.0",-2.73,1.67,-1.06,1.15
Dion Waiters,2016-17,MIA,46,"1,383.1",0.22,-0.27,-0.06,2.11
Stanley Johnson,2016-17,DET,77,"1,370.6",-2.09,1.63,-0.46,1.71
Norman Powell,2016-17,TOR,76,"1,367.3",-0.12,-0.51,-0.62,1.57
Jason Terry,2016-17,MIL,74,"1,365.4",-0.84,0.48,-0.36,1.80
Jared Dudley,2016-17,PHO,64,"1,362.7",-0.81,1.64,0.83,2.90
Shaun Livingston,2016-17,GSW,76,"1,344.5",-3.96,-1.06,-5.02,-2.28
Jaylen Brown,2016-17,BOS,78,"1,343.8",-3.17,-0.21,-3.38,-0.92
Dwight Powell,2016-17,DAL,77,"1,333.9",0.06,-0.93,-0.87,1.31
Kris Dunn,2016-17,MIN,78,"1,333.6",-2.90,0.20,-2.70,-0.28
Spencer Dinwiddie,2016-17,BRK,59,"1,332.6",-0.60,0.86,0.26,2.32
Dewayne Dedmon,2016-17,SAS,76,"1,329.7",-1.84,4.05,2.21,4.09
Willy Hernangomez,2016-17,NYK,72,"1,323.8",-0.88,0.15,-0.73,1.43
Tyson Chandler,2016-17,PHO,47,"1,297.0",0.26,1.83,2.09,3.82
Kenneth Faried,2016-17,DEN,61,"1,296.2",-0.20,0.37,0.17,2.17
Manu Ginobili,2016-17,SAS,69,"1,291.6",0.49,0.77,1.26,3.10
Marreese Speights,2016-17,LAC,82,"1,286.4",-0.22,-1.72,-1.94,0.37
Randy Foye,2016-17,BRK,69,"1,284.9",-1.97,-0.80,-2.76,-0.37
Boris Diaw,2016-17,UTA,73,"1,283.1",-2.40,-0.98,-3.38,-0.89
Corey Brewer,2016-17,TOT,82,"1,281.2",-2.15,0.54,-1.62,0.65
Terrence Jones,2016-17,TOT,54,"1,270.2",-1.12,-0.25,-1.36,0.82
Zaza Pachulia,2016-17,GSW,70,"1,267.9",-0.72,2.62,1.90,3.55
Noah Vonleh,2016-17,POR,74,"1,264.8",-3.61,1.83,-1.77,0.46
Terry Rozier,2016-17,BOS,74,"1,263.5",-2.91,0.86,-2.05,0.22
Malcolm Delaney,2016-17,ATL,73,"1,246.6",-2.45,0.64,-1.81,0.39
Caris LeVert,2016-17,BRK,57,"1,237.8",0.51,-0.30,0.21,2.11
Mike Muscala,2016-17,ATL,70,"1,237.5",-0.78,0.38,-0.40,1.60
Jonas Jerebko,2016-17,BOS,78,"1,232.1",-1.59,-0.69,-2.28,0.10
Kyle O'Quinn,2016-17,NYK,79,"1,229.5",-1.23,1.82,0.60,2.41
Dante Exum,2016-17,UTA,66,"1,229.0",-2.49,-0.48,-2.97,-0.55
Justin Anderson,2016-17,TOT,75,"1,227.6",-0.59,-1.20,-1.80,0.45
Meyers Leonard,2016-17,POR,74,"1,221.4",-1.85,-0.16,-2.01,0.27
Shelvin Mack,2016-17,UTA,55,"1,204.5",-1.83,-1.98,-3.81,-1.15
Nene Hilario,2016-17,HOU,67,"1,198.9",-0.36,1.77,1.41,2.98
Yogi Ferrell,2016-17,TOT,46,"1,196.9",0.02,-0.72,-0.70,1.31
Richaun Holmes,2016-17,PHI,57,"1,193.2",0.54,-0.43,0.10,1.95
Timothe Luwawu-Cabarrot,2016-17,PHI,69,"1,190.9",-1.33,-0.23,-1.55,0.60
Nemanja Bjelica,2016-17,MIN,65,"1,190.5",-1.74,0.94,-0.81,1.22
J.R. Smith,2016-17,CLE,41,"1,187.1",-0.78,-0.67,-1.44,0.75
Derrick Favors,2016-17,UTA,50,"1,184.6",-1.96,1.70,-0.25,1.64
Troy Daniels,2016-17,MEM,67,"1,183.1",-0.15,-1.96,-2.11,0.18
Ben McLemore,2016-17,SAC,61,"1,175.6",-1.82,-0.69,-2.51,-0.15
Justin Hamilton,2016-17,BRK,64,"1,175.5",-1.55,-0.54,-2.09,0.18
Aron Baynes,2016-17,DET,75,"1,162.8",-1.68,3.27,1.58,3.09
Trey Lyles,2016-17,UTA,71,"1,158.0",-2.45,-0.93,-3.38,-0.81
Jeremy Lamb,2016-17,CHO,62,"1,143.0",0.39,-1.62,-1.22,0.86
Joe Harris,2016-17,BRK,52,"1,138.7",-1.95,-1.30,-3.26,-0.72
Brandon Knight,2016-17,PHO,54,"1,138.7",-2.24,-2.49,-4.73,-1.77
Ian Clark,2016-17,GSW,77,"1,137.0",-2.38,-3.01,-5.38,-2.14
Jahlil Okafor,2016-17,PHI,50,"1,134.2",-3.32,-1.40,-4.72,-1.81
Mirza Teletovic,2016-17,MIL,70,"1,133.6",-0.50,-0.42,-0.92,1.07
Tyler Ulis,2016-17,PHO,61,"1,123.0",-1.17,-1.27,-2.44,-0.07
John Henson,2016-17,MIL,58,"1,121.0",-1.87,1.10,-0.78,1.17
Timofey Mozgov,2016-17,LAL,54,"1,103.8",-2.95,1.38,-1.56,0.55
Tarik Black,2016-17,LAL,67,"1,090.8",-1.59,2.72,1.14,2.54
Lucas Nogueira,2016-17,TOR,57,"1,087.9",-0.42,3.04,2.61,3.55
Devin Harris,2016-17,DAL,65,"1,087.2",0.62,0.11,0.73,2.23
Patrick McCaw,2016-17,GSW,71,"1,074.4",-4.19,-2.51,-6.70,-2.86
Jason Smith,2016-17,WAS,74,"1,068.4",-2.17,-0.60,-2.77,-0.27
Luke Babbitt,2016-17,MIA,68,"1,064.4",-0.94,0.73,-0.21,1.51
Montrezl Harrell,2016-17,HOU,58,"1,063.1",0.41,-1.65,-1.24,0.82
Alex Abrines,2016-17,OKC,68,"1,056.6",0.12,-2.16,-2.04,0.23
Nerlens Noel,2016-17,TOT,51,"1,047.4",0.02,2.13,2.15,3.16
Cristiano Felicio,2016-17,CHI,66,"1,040.8",-1.24,0.91,-0.33,1.39
Willie Reed,2016-17,MIA,71,"1,031.4",-1.11,1.53,0.42,1.91
Brandon Rush,2016-17,MIN,47,"1,030.1",-1.94,-0.97,-2.92,-0.33
Jerian Grant,2016-17,CHI,63,"1,027.7",0.44,0.41,0.85,2.19
Kyle Anderson,2016-17,SAS,72,"1,018.6",-1.77,2.72,0.95,2.26
Mindaugas Kuzminskas,2016-17,NYK,68,"1,016.1",-0.49,-0.27,-0.76,1.07
Joakim Noah,2016-17,NYK,46,"1,014.6",-1.44,1.86,0.42,1.87
Rudy Gay,2016-17,SAC,30,"1,012.9",0.70,1.99,2.69,3.40
C.J. Watson,2016-17,ORL,62,"1,012.7",-2.50,-0.15,-2.64,-0.25
Bobby Portis,2016-17,CHI,64,"1,000.6",-1.12,-0.93,-2.05,0.18
Taurean Waller-Prince,2016-17,ATL,59,981.2,-3.15,1.77,-1.38,0.58
Joffrey Lauvergne,2016-17,TOT,70,980.1,-1.34,-2.02,-3.36,-0.63
Denzel Valentine,2016-17,CHI,57,976.8,-1.50,-0.98,-2.48,-0.09
Semaj Christon,2016-17,OKC,64,972.6,-3.10,-2.87,-5.97,-2.18
Lance Thomas,2016-17,NYK,46,967.6,-2.12,-1.86,-3.98,-0.99
Leandro Barbosa,2016-17,PHO,67,965.1,-0.81,-0.67,-1.49,0.55
Mario Hezonja,2016-17,ORL,65,960.7,-4.24,-2.15,-6.39,-2.49
Michael Beasley,2016-17,MIL,56,934.5,-0.53,-1.27,-1.80,0.35
Al Jefferson,2016-17,IND,66,931.3,-1.25,-1.17,-2.43,-0.06
Salah Mejri,2016-17,DAL,73,905.1,-2.05,3.62,1.57,2.39
Aaron Brooks,2016-17,IND,65,894.0,-2.48,-1.19,-3.67,-0.80
Khris Middleton,2016-17,MIL,29,889.0,0.48,0.23,0.71,1.81
Jeremy Lin,2016-17,BRK,36,883.2,1.89,1.01,2.90,3.09
Lavoy Allen,2016-17,IND,61,871.0,-3.03,-0.89,-3.92,-0.88
Pascal Siakam,2016-17,TOR,55,859.4,-2.78,1.35,-1.43,0.52
Ron Baker,2016-17,NYK,52,857.5,-2.19,0.24,-1.95,0.22
David West,2016-17,GSW,68,853.7,-3.09,1.32,-1.77,0.31
Michael Carter-Williams,2016-17,CHI,45,846.7,-2.43,0.60,-1.82,0.28
Paul Zipser,2016-17,CHI,44,843.8,-2.33,-0.17,-2.50,-0.11
Juan Hernangomez,2016-17,DEN,62,841.9,-0.64,-0.52,-1.16,0.68
Mike Dunleavy,2016-17,TOT,53,840.8,-1.97,-0.41,-2.38,-0.06
Ramon Sessions,2016-17,CHO,50,810.4,-1.80,-2.08,-3.88,-0.81
Wesley Johnson,2016-17,LAC,68,809.2,-3.60,0.74,-2.86,-0.29
Davis Bertans,2016-17,SAS,67,808.3,-0.54,0.18,-0.36,1.07
Derrick Williams,2016-17,TOT,50,803.9,-1.74,-1.63,-3.37,-0.52
Spencer Hawes,2016-17,TOT,54,797.3,-2.13,-1.03,-3.16,-0.44
Ed Davis,2016-17,POR,46,789.3,-2.84,0.47,-2.37,0.00
Tyreke Evans,2016-17,TOT,40,788.1,-1.02,-0.47,-1.49,0.42
Joel Embiid,2016-17,PHI,31,784.4,0.74,3.88,4.62,3.66
DeAndre Liggins,2016-17,TOT,62,777.8,-3.53,0.79,-2.74,-0.18
Tyus Jones,2016-17,MIN,60,774.4,0.42,-0.25,0.17,1.29
J.J. Barea,2016-17,DAL,35,770.6,0.98,-1.14,-0.16,1.12
Hollis Thompson,2016-17,TOT,40,752.7,-1.48,-0.81,-2.29,0.00
JaVale McGee,2016-17,GSW,77,738.6,1.64,0.76,2.40,2.27
