Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Corey Heyward\corey-heyward-1,FR,2013-14,G,Georgia Tech,ACC,32,526,4.5,0.389,0.371,2.2,8.7,5.4,14.8,2.6,0.8,38.7,6.7,54,79.9,104.5,-0.2,0.7,0.4,-3.2,3.1,-0.1
Ahmed Hill\ahmed-hill-1,FR,2014-15,G,Virginia Tech,ACC,33,978,11.1,0.5,0.464,4.5,10.7,7.7,10.8,1,0.5,15,19.2,291,99.4,111.4,0.8,0.4,1.2,0.4,-0.5,-0.1
Ralph Hill\ralph-hill-1,SR,2014-15,F,Oakland,Horizon,32,299,15.2,0.615,0.584,2,11.1,6.5,10.2,1.4,1.1,8.6,16.1,92,125,113.4,0.7,0.1,0.8,3.2,-3.3,-0.1
Brandon Holcomb\brandon-holcomb-1,JR,2014-15,C,Radford,Big South,34,722,16.3,0.589,0.565,9.8,14.8,12.4,7.3,1.1,6.8,23.4,16.1,210,105.7,100.9,0.9,1,1.9,-2.3,2.2,-0.1
Zach Horstman\zach-horstman-1,SR,2014-15,G,South Dakota State,Summit,33,506,13,0.553,0.528,7.6,10.3,9,6.5,1.2,1.1,12.4,15.1,145,114.8,100.9,0.9,0.7,1.6,0.4,-0.5,-0.1
Mareik Isom\mareik-isom-1,SO,2014-15,G,Arkansas-Little Rock,Sun Belt,31,494,18.5,0.622,0.581,5.7,15.8,10.5,5,1.2,2.6,12.9,20.8,184,117.5,104.6,1.3,0.5,1.8,2.1,-2.2,-0.1
Chad Jackson\chad-jackson-2,JR,2012-13,G,Northern Kentucky,A-Sun,27,798,17.4,0.577,0.541,6.4,20,12.6,16.1,3.2,1.4,23.8,22.7,271,98.8,97.6,0.9,1.2,2.2,-1.9,1.8,-0.1
Garrett Jackson\garrett-jackson-1,SO,2011-12,F,Southern California,Pac-12,32,709,12.6,0.463,0.438,4.9,14.4,9.1,6.4,1.9,3.1,13.7,22.9,206,88,98,-0.1,1.1,1,-2.4,2.3,-0.1
Jordan Jahr\jordan-jahr-1,SO,2012-13,G,Evansville,MVC,20,287,10.5,0.443,0.393,5.7,16.8,10.8,10.6,1.7,1.2,12.6,17.5,77,96.2,100.8,0.2,0.4,0.5,-0.9,0.8,-0.1
Jernard Jarreau\jernard-jarreau-1,SO,2014-15,F,Washington,Pac-12,21,510,9.3,0.47,0.451,4.6,17.1,11.1,8.5,1.3,2.9,19.6,14.6,111,91,101.8,0,0.7,0.7,-2.8,2.7,-0.1
Blake Jenkins\blake-jenkins-1,SR,2013-14,F,Belmont,OVC,35,751,16.6,0.629,0.632,10.1,17.2,13.8,6.9,0.6,2.8,16.3,18.4,281,119,108.2,1.7,0.7,2.5,0.5,-0.6,-0.1
Akeem Johnson\akeem-johnson-1,SR,2012-13,F,St. Francis (NY),NEC,30,764,18.8,0.522,0.474,10.4,17.5,13.5,12.6,1.5,2.9,17.5,22.7,310,104.4,106.4,1.4,0.5,1.9,-0.7,0.6,-0.1
Lanerryl Johnson\lanerryl-johnson-1,JR,2014-15,G,Cal State Fullerton,Big West,31,680,20.4,0.545,0.498,1.7,6.8,4.1,18.6,2.1,0,11.7,31,348,108,108.2,1.7,0.5,2.2,4,-4.1,-0.1
Todd Johnson\todd-johnson-1,SO,2013-14,G,Northern Kentucky,A-Sun,23,687,14.5,0.602,0.564,3.2,12.8,7.9,13.6,2.6,0.5,17.9,15.9,199,114,113.2,1.1,0.3,1.5,1.8,-1.9,-0.1
Lawrence Johnson-Danner\lawrence-johnson-danner-1,JR,2012-13,G,Texas Southern,SWAC,31,781,13.8,0.56,0.551,3.1,11,7,7.7,1.4,0.5,10.9,17.9,231,111.2,103.2,1.4,0.8,2.2,1.8,-1.9,-0.1
Cameron Jones\cameron-jones-2,SR,2015-16,G,Radford,Big South,31,894,19.6,0.557,0.539,5.7,12,8.8,9.9,1.3,0.9,11.7,26.2,411,112.8,108.5,2.2,0.7,3,3,-3.1,-0.1
Chris Jones\chris-jones-4,SO,2012-13,G,North Texas,Sun Belt,16,437,15.8,0.442,0.396,3.3,12.6,7.8,37.8,4.6,0,21.7,24.3,168,90.3,98.4,0.1,0.6,0.7,-0.4,0.3,-0.1
