Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Mike Green\mike-green-5,FR,2015-16,G,Northern Arizona,Big Sky,29,706,8.7,0.466,0.447,1.5,9.3,5.2,16.8,1.8,0,18.2,21.6,224,85.5,115.8,-0.4,0.1,-0.3,-4.1,-3.8,-8
Jordan Gregory\jordan-gregory-1,JR,2013-14,G,Montana,Big Sky,30,1030,18.2,0.606,0.551,2.7,9.3,6.1,12.7,1.1,0.1,10.5,21.6,394,121.6,114.8,2.9,0.4,3.3,3.2,-3.8,-0.6
D.J. Griggs\dj-griggs-1,SO,2013-14,G,Long Island University,NEC,23,280,8.1,0.507,0.442,2,5.7,3.8,7.6,1.5,0.4,15.3,17.5,78,99,120.2,0.1,0,0.1,-2.5,-3.8,-6.3
Colin Gruber\colin-gruber-1,FR,2011-12,F,Northern Arizona,Big Sky,27,325,9,0.462,0.431,1.4,10.3,5.3,10.9,1.5,2.4,16.7,21.7,94,87.6,111.4,0,0.1,0,-4.9,-3.8,-8.7
Max Guercy\max-guercy-1,SR,2015-16,G,Rice,CUSA,32,1074,10.6,0.545,0.437,2.2,7.6,4.9,29.4,1.6,0.1,30.3,13.9,313,103.9,117.1,1,0,1,-1.2,-3.8,-5
Zachary Hamilton\zachary-hamilton-1,SR,2017-18,F,Prairie View,SWAC,27,752,18.8,0.538,0.508,3.7,13.2,8.2,9.6,1.8,1.1,10.3,29.5,393,109.1,108.3,1.6,0.7,2.3,1.5,-3.8,-2.2
Connor Hill\connor-hill-1,JR,2013-14,G,Idaho,WAC,34,1071,17.4,0.591,0.571,0.6,9.1,4.8,8.5,1.3,0,6.2,21.1,411,123,114.2,2.9,0.4,3.4,4,-3.8,0.2
JR Hobbie\norman-hobbie-1,SO,2014-15,G,Brown,Ivy,31,826,10.2,0.607,0.575,0.4,5.4,3,3.7,0.8,0,11.4,15.2,214,114.8,109.3,1.3,0.5,1.8,1.9,-3.8,-1.9
Tyler Hubbard\tyler-hubbard-1,JR,2014-15,G,Loyola (MD),Patriot,30,917,12.4,0.526,0.485,1.7,6,3.8,6.8,1.2,0.1,9.1,20.1,282,108.9,110.2,1.5,0.5,2,1,-3.8,-2.8
Tyrel Hunt\tyrel-hunt-1,SO,2013-14,F,Alcorn State,SWAC,27,252,12.2,0.485,0.422,5.4,14.1,9.7,4.5,1.5,1.3,12.7,20.1,77,98.4,105.6,0.1,0.3,0.4,-6,-3.8,-9.8
